,Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
98,Norway,2019,7.442,11.061,0.9420000000000001,73.3,0.9540000000000001,0.111,0.271,0.823,0.195,5421242.0,5347896.0,8.042,39.7,0.0,2.676,8.993,0.0,1.0,0.606,24.8,40634.0,40716.0,40500.0,41155.0,9.998
99,Pakistan,2019,4.4430000000000005,8.453,0.617,58.9,0.685,0.124,0.7759999999999999,0.581,0.424,220892331.0,216565318.0,4.607,23.5,0.0,1.048,8.577,0.0,0.0,0.27699999999999997,33.45,,,,,
100,Palestinian Territories,2019,4.4830000000000005,,0.833,,0.653,,0.8290000000000001,0.625,0.4,5101416.0,4685306.0,27.443,20.4,0.0,2.1109999999999998,8.975,0.0,0.0,0.16399999999999998,33.69,,,,,
101,Panama,2019,6.086,10.356,0.8859999999999999,69.7,0.883,-0.19899999999999998,0.8690000000000001,0.878,0.244,4314768.0,4246439.0,93.215,29.7,0.0,0.91,9.568,0.0,0.0,0.182,49.8,19482.0,19720.0,20332.0,23876.0,94.177
102,Paraguay,2019,5.653,9.448,0.892,65.9,0.8759999999999999,0.027999999999999997,0.882,0.858,0.275,7132530.0,7044636.0,31.714000000000002,26.5,0.0,0.591,9.726,0.0,0.0,0.138,47.4,29021.0,31258.0,32362.0,34139.0,45.971000000000004
103,Peru,2019,5.999,9.461,0.809,68.4,0.815,-0.13,0.8740000000000001,0.82,0.375,32971846.0,32510453.0,114.279,29.1,0.0,0.636,9.69,0.0,0.0,0.096,43.9,98704.0,112516.0,114560.0,214503.0,323.476
104,Philippines,2019,6.268,9.095,0.845,62.0,0.91,-0.083,0.748,0.7809999999999999,0.341,109581085.0,108116615.0,8.436,25.2,1.0,0.74,8.226,1.0,0.0,0.52,42.23,,,,,
105,Poland,2019,6.242000000000001,10.407,0.878,69.7,0.883,-0.231,0.696,0.725,0.168,37846605.0,37970874.0,75.447,41.8,0.0,3.199,8.978,0.0,0.0,0.304,27.8,402533.0,411312.0,407624.0,485441.0,206.50799999999998
106,Portugal,2019,6.095,10.457,0.8759999999999999,72.6,0.882,-0.23399999999999999,0.915,0.71,0.3,10196707.0,10269417.0,67.72800000000001,46.2,0.0,3.2239999999999998,9.207,0.0,0.0,0.248,32.1,109283.0,112692.0,111474.0,125500.0,140.235
107,Romania,2019,6.13,10.306,0.8420000000000001,67.5,0.848,-0.221,0.9540000000000001,0.6970000000000001,0.244,19237682.0,19356544.0,81.959,43.0,0.0,2.517,8.981,0.0,0.0,0.1,35.1,,,,,
108,Russia,2019,5.441,10.205,0.91,64.7,0.715,-0.11599999999999999,0.848,0.691,0.2,145934460.0,144373535.0,38.559,39.6,0.0,1.771,8.869,0.0,0.0,0.196,34.56,1824340.0,1827827.0,1800683.0,2124479.0,211.405
109,Rwanda,2019,3.2680000000000002,7.707999999999999,0.489,61.7,0.8690000000000001,0.064,0.168,0.736,0.418,12952209.0,12626950.0,0.71,20.3,0.0,0.8009999999999999,9.174,0.0,0.0,0.9059999999999999,43.71,,,,,
110,Saudi Arabia,2019,6.561,10.757,0.912,66.6,0.8909999999999999,-0.147,,0.732,0.23800000000000002,34813867.0,34268528.0,17.875,31.9,0.0,1.25,8.897,0.0,0.0,0.6509999999999999,45.9,,,,,
111,Senegal,2019,5.489,8.13,0.688,60.0,0.759,-0.019,0.7959999999999999,0.789,0.332,16743930.0,16296364.0,2.449,18.7,0.0,1.062,9.39,0.0,0.0,0.355,40.29,,,,,
112,Serbia,2019,6.2410000000000005,9.808,0.903,68.6,0.753,-0.04,0.813,0.509,0.242,6804596.0,6944975.0,47.18899999999999,41.2,0.0,3.134,9.015,0.0,1.0,0.221,37.8,103722.0,101655.0,102131.0,114954.0,181.11599999999999
113,Sierra Leone,2019,3.447,7.449,0.611,52.4,0.718,0.07400000000000001,0.8740000000000001,0.513,0.43799999999999994,7976985.0,7813215.0,0.953,19.1,0.0,0.9620000000000001,9.401,0.0,0.0,0.33799999999999997,34.03,,,,,
114,Singapore,2019,6.377999999999999,11.485999999999999,0.925,77.1,0.938,0.027000000000000003,0.07,0.723,0.138,5850343.0,5703569.0,0.496,42.4,1.0,1.26,8.426,1.0,1.0,0.8690000000000001,45.2,20905.0,21282.0,21446.0,22000.0,13.658
115,Slovakia,2019,6.242999999999999,10.398,0.9329999999999999,69.2,0.7709999999999999,-0.129,0.9259999999999999,0.75,0.252,5459643.0,5454073.0,39.16,41.2,0.0,4.655,9.019,0.0,1.0,0.195,23.2,53702.0,54137.0,53115.0,60277.0,121.419
116,Slovenia,2019,6.665,10.562999999999999,0.9490000000000001,71.4,0.945,-0.102,0.785,0.679,0.228,2078932.0,2087946.0,129.73,44.5,0.0,4.308,9.045,0.0,0.0,0.177,23.4,20436.0,20428.0,20547.0,24277.0,182.71099999999998
117,South Africa,2019,5.035,9.432,0.848,56.9,0.738,-0.134,0.82,0.8009999999999999,0.268,59308690.0,58558270.0,48.001000000000005,27.3,0.0,0.607,9.297,0.0,0.0,0.193,65.426,,,,566004.0,
118,South Korea,2019,5.903,10.661,0.7829999999999999,73.9,0.706,-0.055,0.718,0.684,0.23600000000000002,51269183.0,51709098.0,1.7890000000000001,43.4,0.0,1.607,8.228,1.0,0.0,0.11199999999999999,35.5,284548.0,298030.0,294080.0,308318.0,31.266
119,Spain,2019,6.457000000000001,10.618,0.9490000000000001,74.7,0.778,-0.049,0.73,0.6629999999999999,0.316,46754783.0,47076781.0,108.73100000000001,45.5,0.0,4.332,9.172,0.0,0.0,0.14300000000000002,33.2,420589.0,423994.0,414914.0,501106.0,173.233
120,Sri Lanka,2019,4.213,9.479,0.815,67.4,0.8240000000000001,0.051,0.863,0.816,0.315,21413250.0,21670000.0,0.953,34.1,1.0,0.705,8.635,0.0,0.0,0.368,41.937,,,,,
121,Swaziland,2019,4.396,9.07,0.759,51.27,0.597,-0.191,0.7240000000000001,0.778,0.28,,,,,,,,,,,,,,,,
122,Sweden,2019,7.398,10.882,0.934,72.7,0.9420000000000001,0.091,0.25,0.826,0.20199999999999999,10099270.0,10285453.0,86.412,41.0,0.0,2.59,8.963,0.0,0.0,0.451,27.0,91627.0,91920.0,88545.0,99647.0,87.81200000000001
123,Switzerland,2019,7.694,11.136,0.9490000000000001,74.4,0.9129999999999999,0.036000000000000004,0.294,0.7979999999999999,0.171,8654618.0,8574832.0,88.334,43.1,0.0,5.584,9.078,0.0,0.0,0.66,30.1,66703.0,66888.0,67515.0,77087.0,116.68
124,Taiwan Province of China,2019,6.537000000000001,,0.893,,0.8140000000000001,,0.718,0.86,0.09300000000000001,23816775.0,23780000.0,0.028999999999999998,42.2,0.0,0.888,8.088,1.0,1.0,0.158,29.467,171242.0,172784.0,176296.0,173156.0,-1.196
