Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of institutional trust,Gini coefficient of income,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Benin,2019,4.976,8.097999999999999,0.442,54.7,0.77,-0.016,0.698,0.659,0.441,0.363,18.8,0.39799999999999996,47.76,
Bolivia,2019,5.6739999999999995,9.074,0.784,63.9,0.8809999999999999,-0.086,0.857,0.7509999999999999,0.419,78.514,25.4,0.10099999999999999,43.8,
Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963,0.633,0.23800000000000002,123.445,42.5,0.064,33.03,
Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.7120000000000001,0.273,1.786,25.8,0.435,53.33,
Brazil,2019,6.4510000000000005,9.592,0.899,66.6,0.83,-0.062,0.762,0.7609999999999999,0.337,91.715,33.5,0.115,54.0,115.667
Bulgaria,2019,5.1080000000000005,10.047,0.948,67.0,0.8220000000000001,-0.109,0.943,0.6629999999999999,0.2,109.03200000000001,44.7,0.073,39.6,259.256
Burkina Faso,2019,4.7410000000000005,7.691,0.6829999999999999,54.4,0.6779999999999999,-0.004,0.7290000000000001,0.691,0.365,0.40700000000000003,17.6,0.359,35.3,
Cambodia,2019,4.998,8.387,0.759,62.0,0.9570000000000001,0.013000000000000001,0.828,0.8440000000000001,0.39,0.0,25.6,0.498,36.0,
Cameroon,2019,4.937,8.203,0.711,53.5,0.7120000000000001,-0.008,0.8170000000000001,0.629,0.326,1.6880000000000002,18.8,0.281,46.64,
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.11199999999999999,0.436,0.8220000000000001,0.285,41.418,41.4,0.48200000000000004,35.25,
Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.8320000000000001,0.5870000000000001,0.46,0.633,16.7,0.26899999999999996,43.32,
Chile,2019,5.942,10.095,0.8690000000000001,70.0,0.659,-0.10300000000000001,0.86,0.809,0.337,86.87899999999999,35.4,0.09699999999999999,45.92,106.088
China,2019,5.144,9.687999999999999,0.8220000000000001,69.6,0.927,-0.17300000000000001,,0.8909999999999999,0.147,0.332,38.7,0.516,46.7,
Colombia,2019,6.35,9.597999999999999,0.873,68.0,0.8220000000000001,-0.172,0.8540000000000001,0.8220000000000001,0.322,84.926,32.2,0.113,52.0,130.251
Comoros,2019,4.609,8.033,0.632,57.5,0.5379999999999999,0.077,0.762,0.736,0.336,1.15,20.4,0.139,45.33,
Congo (Brazzaville),2019,5.212999999999999,8.101,0.625,58.5,0.6859999999999999,-0.046,0.741,0.645,0.405,1.9569999999999999,19.0,0.23800000000000002,48.94,
Costa Rica,2019,6.997999999999999,9.885,0.9059999999999999,71.5,0.927,-0.146,0.836,0.848,0.303,42.893,33.6,0.213,48.6,
Croatia,2019,5.626,10.258,0.9359999999999999,70.8,0.7390000000000001,-0.13699999999999998,0.932,0.551,0.26899999999999996,95.48700000000001,44.0,0.131,29.7,133.158
